text,label
57.81,1
34.3,0
53.99,1
9.24,0
49.3,0
34.43,0
52.81,1
73.82,1
61.04,1
31.81,0
68.21,1
62.1,1
64.23,1
58.77,1
41.7,0
50.7,0
23.67,0
57.93,1
35.83,0
71.81,1
43.69,0
29.31,0
48.15,0
62.29,1
52.19,1
61.33,1
53.35,1
36.81,0
71.67,1
27.89,0
64.61,1
38.65,0
49.98,0
43.82,0
43.62,0
69.23,1
59.61,1
51.1,0
32.57,0
38.48,0
51.17,1
66.74,1
62.55,1
45.28,0
58.23,1
27.01,0
65.36,1
42.93,0
62.59,1
50.1,0
57.09,1
66.09,1
57.22,1
72.87,1
48.32,0
33.36,0
64.64,1
78.19,1
58.7,1
73.48,1
40.6,0
66.43,1
44.94,0
66.06,1
43.26,0
29.75,0
60.71,1
48.94,0
35.75,0
49.61,0
46.12,0
49.86,0
45.96,0
40.02,0
48.29,0
46.45,0
46.0,0
26.02,0
53.72,1
64.65,1
25.55,0
41.16,0
14.83,0
70.84,1
63.33,1
51.93,1
77.38,1
28.41,0
68.03,1
59.17,1
32.79,0
65.28,1
64.99,1
71.42,1
49.38,0
50.04,0
81.95,1
57.6,1
36.21,0
71.84,1
