study_hours,attendance_rate,previous_scores,extracurricular,score
70.4,50.32,2.8,47.6,45144.31
68.17,59.48,4.6,45.06,64228.41
44.25,68.21,2.6,48.94,41389.04
71.73,52.57,1.1,47.98,26931.4
54.26,39.57,1.2,50.72,27138.28
75.38,23.78,1.9,51.56,34557.12
48.41,46.05,1.3,67.69,30046.38
63.14,40.24,2.0,35.03,34203.95
62.82,41.2,3.0,69.15,45969.36
65.29,47.87,1.5,65.97,31854.78
68.86,67.56,3.0,26.31,45159.78
28.3,48.22,3.1,44.89,42268.65
61.49,46.72,4.9,25.85,63150.73
92.11,73.1,3.2,51.05,51686.58
52.49,53.4,4.8,67.98,64593.27
42.64,59.74,2.5,53.73,40578.99
44.47,35.86,3.3,62.45,45873.45
50.26,57.12,3.8,40.23,53232.63
73.06,58.34,3.6,34.53,53612.55
29.24,53.41,3.7,31.1,48768.71
57.64,70.31,1.9,64.55,37127.43
62.06,65.12,3.1,61.18,48708.45
79.68,46.59,2.1,44.56,38339.37
68.63,56.44,3.6,55.02,54551.2
30.67,67.92,1.6,65.65,32128.4
59.5,57.67,1.2,41.1,26947.26
69.2,72.02,4.6,31.21,63084.52
44.47,39.97,2.4,72.65,41053.5
62.51,49.63,2.8,67.38,46143.2
45.07,55.9,3.5,64.64,51956.8
26.49,42.14,1.2,48.73,23525.74
66.07,42.6,2.4,47.22,38223.61
62.91,45.49,3.9,29.41,52429.09
71.64,38.26,4.0,42.95,54158.55
37.19,75.19,1.7,70.2,33733.06
55.89,61.97,3.7,48.46,52711.14
62.25,10.78,4.4,45.6,56512.54
51.01,35.86,3.7,36.69,48996.21
33.56,36.03,4.9,46.4,60008.87
43.95,39.48,2.2,74.12,38941.84
51.93,41.56,2.1,67.53,37264.06
37.93,70.99,4.0,65.0,56273.24
44.53,32.66,4.1,65.19,54175.45
44.35,56.29,1.8,55.1,34646.55
59.45,27.59,4.8,59.36,63831.39
41.38,60.75,2.4,36.4,39063.22
31.6,42.71,3.2,19.66,41989.59
28.37,36.8,2.9,61.57,39594.7
50.03,56.38,3.1,60.34,48981.98
50.68,56.21,2.7,53.25,41648.11
77.17,79.66,2.4,86.67,45834.91
42.56,36.82,3.5,30.25,45520.22
32.66,78.03,4.1,67.16,57660.33
54.3,72.14,4.2,49.63,59869.51
55.58,78.65,4.6,35.81,63232.41
51.95,55.04,2.8,43.49,42394.61
73.21,80.51,3.3,30.83,51429.02
34.61,53.67,1.9,71.14,34374.45
51.52,51.18,1.1,50.65,26065.43
15.48,55.93,3.9,38.34,50413.14
65.11,67.32,3.2,78.62,54772.42
38.99,34.47,3.2,61.21,45643.89
62.35,39.42,3.4,62.78,51045.51
17.94,47.96,3.0,56.53,45352.55
47.93,29.01,1.2,58.6,25536.93
47.93,50.34,2.7,27.03,39621.49
55.35,43.12,3.2,53.66,48939.08
54.14,40.33,1.9,41.26,32388.84
63.24,69.36,1.5,62.36,33856.72
54.24,70.08,1.0,57.43,27504.44
61.2,27.15,1.2,12.18,20973.62
17.96,48.02,1.3,34.05,23026.07
30.79,46.23,2.6,45.1,37339.11
45.25,60.78,3.5,45.88,50044.96
52.65,56.73,2.8,43.91,43541.08
71.78,43.37,2.2,75.01,41701.2
34.44,52.98,3.0,36.93,42274.62
54.94,38.04,1.3,63.62,29652.67
37.18,56.78,4.1,55.21,55372.42
75.12,60.57,1.3,49.91,31755.43
31.55,68.08,4.9,49.2,63792.48
86.78,38.21,4.8,44.13,66140.63
43.67,53.51,3.1,58.75,45933.51
49.36,67.94,3.1,6.3,43199.32
46.41,51.72,5.0,57.66,66552.45
51.85,55.14,4.7,44.42,62949.04
51.62,44.93,4.8,26.68,59383.12
62.83,52.76,3.5,58.42,52237.18
70.48,27.27,1.5,33.35,25327.73
51.06,58.44,4.4,75.81,63877.7
41.19,37.91,4.6,66.85,60957.6
52.25,58.78,4.0,47.95,58080.69
55.32,57.96,4.4,55.68,60631.22
9.12,25.35,4.4,50.78,52784.52
40.42,34.11,3.3,47.15,44262.97
53.58,52.77,4.0,36.62,53249.15
58.28,57.28,1.4,61.4,32960.16
56.19,41.09,1.8,36.35,31484.68
71.51,41.18,4.5,60.26,63997.01
40.35,43.01,3.6,80.27,53557.54
