area_sqft,bedrooms,bathrooms,location,year_built,garage,price
3801,1,3,Metropolitan,2020,0,860800.0
3279,5,1,Downtown,1996,2,749900.0
982,2,4,Urban,1986,3,442700.0
2221,2,5,Suburbs,1999,3,639000.0
2866,4,5,Suburbs,2020,3,823500.0
4447,5,1,Beachfront,1987,1,952500.0
2070,4,3,Urban,2007,3,636200.0
1910,5,4,Metropolitan,1990,2,678300.0
1839,5,2,Suburbs,1990,2,576800.0
1917,4,3,Countryside,1981,2,602500.0
1664,4,1,Suburbs,1989,3,501500.0
4016,3,4,Metropolitan,2004,2,964200.0
1346,3,5,Beachfront,1994,0,529600.0
2261,2,1,Countryside,2008,3,617500.0
4362,2,2,Metropolitan,1996,1,930100.0
3044,2,1,Metropolitan,1986,0,677300.0
3177,3,3,Suburbs,1975,2,731300.0
2347,5,1,Beachfront,2010,0,659600.0
4321,2,4,Suburbs,1982,3,939500.0
3323,5,5,Metropolitan,1982,3,917300.0
4250,1,5,Urban,1983,0,888000.0
2950,4,4,Suburbs,2011,3,793400.0
1279,2,3,Suburbs,2020,3,464900.0
3283,1,5,Downtown,1981,2,722100.0
3133,1,3,Urban,2016,2,712400.0
3762,3,3,Metropolitan,1982,3,864100.0
1023,3,5,Urban,2023,3,536400.0
3573,2,3,Suburbs,1980,2,756800.0
2920,1,3,Metropolitan,2011,2,724800.0
3877,5,1,Metropolitan,2008,0,923400.0
1769,1,3,Metropolitan,1988,2,556300.0
1195,1,2,Beachfront,2002,3,415800.0
4446,5,1,Urban,2009,0,947500.0
4255,4,3,Urban,1991,0,917300.0
762,4,3,Urban,1997,0,388900.0
3615,2,3,Beachfront,1987,0,782200.0
3261,1,3,Beachfront,2015,3,767000.0
2136,3,3,Downtown,2000,0,544700.0
1619,2,1,Metropolitan,2010,3,538100.0
1096,4,4,Urban,1978,2,473800.0
3431,2,5,Beachfront,1976,3,833500.0
671,3,3,Urban,1986,2,418800.0
2828,4,5,Downtown,2002,2,751400.0
3067,3,2,Countryside,1979,3,739100.0
2214,4,4,Beachfront,1987,1,677800.0
2362,5,4,Countryside,2010,1,750700.0
1318,5,2,Downtown,2018,2,516700.0
724,1,3,Urban,1990,1,323600.0
3731,5,3,Metropolitan,1999,3,960500.0
1312,1,5,Beachfront,2013,2,521300.0
2641,2,3,Metropolitan,1998,0,683500.0
1702,4,5,Suburbs,1991,1,582400.0
3813,2,3,Metropolitan,2010,3,892600.0
1540,4,4,Countryside,1976,1,581200.0
1041,3,2,Beachfront,2013,2,414800.0
3985,3,1,Suburbs,2015,2,823400.0
1179,5,4,Beachfront,1975,3,541300.0
3095,2,5,Metropolitan,2019,3,876200.0
3490,3,2,Suburbs,2020,1,788300.0
2672,3,1,Suburbs,2022,0,629900.0
2655,1,5,Metropolitan,1985,0,678900.0
3201,3,2,Countryside,1998,1,763100.0
2695,3,3,Beachfront,1976,1,686300.0
2308,4,2,Urban,2005,0,629900.0
888,4,3,Metropolitan,2020,0,498600.0
3099,4,2,Urban,2010,1,760300.0
4028,4,3,Countryside,2011,3,965400.0
3901,5,5,Countryside,2014,3,1021500.0
2244,2,3,Suburbs,1988,3,587900.0
3488,1,3,Downtown,2017,0,718400.0
1531,5,4,Suburbs,1992,0,573500.0
2884,2,2,Suburbs,2013,2,689200.0
895,2,1,Downtown,1978,2,317400.0
1203,5,2,Urban,2018,0,493300.0
3709,1,2,Metropolitan,2014,3,850000.0
2510,1,1,Suburbs,2003,0,530000.0
2277,3,4,Countryside,1975,3,666600.0
4368,5,5,Countryside,1986,3,1081100.0
1756,1,4,Suburbs,1993,2,496700.0
1620,4,3,Suburbs,2016,2,548800.0
985,4,3,Urban,2021,0,475600.0
584,1,4,Metropolitan,1981,2,360300.0
4141,1,3,Beachfront,2022,3,911800.0
3375,2,2,Urban,1975,0,676400.0
2912,5,3,Countryside,1999,0,803400.0
2794,1,4,Suburbs,2012,0,672800.0
1966,3,3,Urban,2016,2,599100.0
3570,1,3,Urban,2009,0,758000.0
1340,2,3,Suburbs,1977,3,424200.0
2366,1,1,Downtown,2001,3,535300.0
3307,4,1,Metropolitan,2016,0,821900.0
4449,5,3,Suburbs,1982,0,939100.0
888,2,3,Downtown,1999,1,344800.0
1051,2,1,Suburbs,1985,3,345900.0
946,2,3,Downtown,1984,3,381800.0
1206,3,3,Beachfront,2019,3,537800.0
4306,4,3,Suburbs,2017,1,955600.0
2117,2,4,Beachfront,1990,1,605800.0
1464,3,1,Suburbs,2017,2,440800.0
3183,3,4,Downtown,1988,2,746300.0
