area_sqft,bedrooms,bathrooms,location,year_built,garage,price
1354,5,2,Metropolitan,2010,0,559500.0
2249,4,3,Urban,2017,3,709700.0
2735,5,3,Beachfront,1982,0,704000.0
4180,2,5,Countryside,1999,2,977300.0
1942,4,1,Urban,1984,1,525800.0
2442,1,2,Urban,1978,3,576800.0
3912,5,4,Metropolitan,1986,1,956000.0
2903,5,3,Downtown,2001,0,722600.0
2800,2,4,Countryside,2006,1,726700.0
772,1,3,Urban,2012,0,351300.0
4086,3,2,Urban,1988,3,879800.0
943,2,2,Suburbs,2016,2,401400.0
1926,2,3,Metropolitan,1978,2,556200.0
2229,2,3,Metropolitan,2003,2,648800.0
4022,1,2,Urban,2004,1,798600.0
1976,3,3,Urban,1978,3,601200.0
1521,1,1,Downtown,2016,1,397900.0
2405,2,1,Countryside,2014,3,632300.0
2355,5,5,Countryside,2018,0,764400.0
4411,4,4,Countryside,2011,3,1046900.0
1046,4,3,Urban,1978,1,464800.0
2964,1,4,Metropolitan,1993,3,734500.0
748,1,3,Metropolitan,2016,1,400300.0
2514,2,1,Downtown,2012,3,592700.0
3061,5,4,Beachfront,2011,2,831800.0
3213,1,3,Countryside,1992,0,711700.0
4311,5,5,Metropolitan,1991,1,1078600.0
583,4,5,Urban,1975,2,410500.0
3011,5,5,Suburbs,1976,2,800100.0
1443,5,3,Downtown,2006,3,543600.0
2037,4,4,Urban,1983,3,641000.0
2515,3,2,Downtown,1978,1,561000.0
2758,4,5,Urban,1986,3,768600.0
2252,4,2,Urban,2005,0,608100.0
2735,4,5,Countryside,2007,0,804600.0
759,5,4,Metropolitan,1999,0,471300.0
2879,5,4,Urban,1987,1,776900.0
3181,4,4,Suburbs,1982,0,780300.0
3473,1,1,Beachfront,2014,0,712500.0
1289,4,2,Suburbs,2013,1,459300.0
2593,3,4,Urban,2010,3,733300.0
4243,4,1,Countryside,1993,2,912300.0
1145,4,5,Beachfront,1994,0,540600.0
510,1,2,Suburbs,1976,3,226300.0
1632,2,5,Suburbs,1995,3,537700.0
2989,1,1,Suburbs,2016,0,631900.0
1674,1,1,Metropolitan,2016,0,503200.0
3092,3,2,Downtown,2008,0,653400.0
775,2,4,Countryside,1990,0,380200.0
2898,1,5,Urban,1985,3,692000.0
1250,5,1,Metropolitan,2020,0,534400.0
557,5,2,Suburbs,2023,0,384500.0
3470,4,2,Downtown,2005,3,802400.0
3069,1,2,Beachfront,1975,2,648400.0
3083,1,2,Metropolitan,1975,3,708500.0
1183,5,2,Countryside,2021,3,560000.0
842,3,4,Downtown,2008,0,415300.0
2138,1,1,Suburbs,2012,1,493300.0
2669,5,2,Countryside,1993,1,733600.0
1905,2,3,Metropolitan,1985,3,580700.0
1611,2,4,Metropolitan,2003,3,586900.0
3034,3,4,Countryside,1979,1,781000.0
1275,2,5,Metropolitan,2001,1,534000.0
2874,5,2,Countryside,2022,0,769400.0
3398,2,2,Metropolitan,2010,1,809000.0
1832,5,4,Suburbs,2018,0,577900.0
4352,5,4,Suburbs,2018,3,1049800.0
4177,1,3,Downtown,2001,0,792900.0
2315,2,1,Metropolitan,1992,1,571300.0
3433,3,5,Downtown,1983,3,823400.0
3168,2,3,Beachfront,2007,2,783700.0
3495,5,1,Downtown,2016,2,808400.0
2741,5,2,Urban,1979,3,745800.0
1586,5,2,Beachfront,2008,1,591700.0
3163,1,5,Countryside,1975,0,709600.0
4385,3,3,Countryside,1992,3,982300.0
2719,1,4,Suburbs,1984,0,608100.0
1171,4,5,Beachfront,2023,3,597700.0
795,4,2,Countryside,2006,2,461900.0
3896,4,4,Countryside,2007,2,958400.0
2949,4,4,Countryside,2002,3,801400.0
896,4,1,Urban,2006,2,413000.0
569,5,2,Downtown,2004,2,347000.0
2051,2,3,Metropolitan,1990,0,595600.0
3868,2,1,Suburbs,2015,2,779700.0
3273,2,1,Countryside,2015,3,753600.0
1086,2,2,Urban,2023,1,447000.0
3940,3,4,Beachfront,1988,1,918700.0
4387,3,3,Countryside,2016,2,993500.0
1442,1,5,Metropolitan,1976,0,485700.0
3093,3,1,Downtown,1998,2,666800.0
726,2,3,Suburbs,2010,3,363400.0
865,3,3,Metropolitan,2002,1,446700.0
959,5,1,Beachfront,1981,3,413700.0
1085,1,4,Countryside,1992,2,413300.0
3252,3,3,Beachfront,1980,2,766800.0
953,4,3,Countryside,1978,0,418300.0
2127,1,2,Beachfront,1988,2,543900.0
3570,4,5,Suburbs,1989,0,826000.0
2116,1,4,Countryside,2001,0,585400.0
