area_sqft,bedrooms,bathrooms,location,year_built,garage,price
4143,1,3,Metropolitan,2009,2,912500.0
1472,4,5,Metropolitan,1989,1,635500.0
3174,1,1,Metropolitan,1997,3,734700.0
3812,3,1,Suburbs,1995,2,791900.0
4112,4,2,Urban,1996,2,884200.0
2114,2,2,Metropolitan,2007,2,606000.0
1482,5,5,Suburbs,2015,3,651200.0
1440,3,1,Countryside,1990,0,450200.0
4476,2,1,Downtown,1991,1,801000.0
3340,4,2,Countryside,2004,2,820500.0
897,5,1,Suburbs,1978,2,408200.0
2883,3,3,Countryside,1989,0,717200.0
3903,1,5,Metropolitan,2009,1,917700.0
4127,5,4,Downtown,1985,2,917000.0
3400,1,2,Beachfront,1981,2,712900.0
3482,1,4,Urban,2011,0,791100.0
1545,2,4,Countryside,2002,3,564300.0
2097,3,2,Countryside,2003,3,604700.0
1865,1,2,Countryside,1997,1,501700.0
3976,2,1,Urban,2001,2,799600.0
1673,3,2,Suburbs,2006,0,491200.0
4298,1,1,Suburbs,2018,1,833600.0
1729,5,5,Countryside,1994,3,691400.0
3878,4,2,Urban,2010,3,894200.0
4026,4,2,Suburbs,1987,3,873500.0
3149,1,1,Countryside,2022,1,720600.0
2703,1,5,Countryside,1976,1,691200.0
4482,1,4,Downtown,2017,0,925100.0
3153,4,3,Urban,2018,2,800800.0
3874,4,5,Suburbs,1995,0,899900.0
3565,5,1,Downtown,1991,2,784900.0
4080,1,2,Countryside,2005,1,833300.0
2786,2,5,Suburbs,2015,2,764700.0
1440,4,4,Urban,1991,1,524200.0
2416,1,1,Downtown,1986,1,494200.0
4212,4,1,Metropolitan,1993,3,930100.0
2827,4,3,Downtown,1997,3,720800.0
2011,3,4,Beachfront,1984,2,607400.0
4433,2,1,Countryside,2002,1,895800.0
1859,4,1,Countryside,1986,1,531200.0
2213,3,5,Beachfront,1992,1,661600.0
558,1,5,Urban,1978,1,346600.0
3263,3,5,Countryside,2013,3,873600.0
4023,1,5,Downtown,1994,2,833500.0
1673,2,1,Urban,1993,0,449300.0
2780,4,1,Suburbs,2009,0,661000.0
3139,2,4,Downtown,1998,3,732700.0
2715,3,5,Metropolitan,2019,2,817900.0
2111,2,4,Suburbs,2001,2,597100.0
3079,3,4,Downtown,2016,2,787900.0
1650,1,3,Urban,1977,1,421900.0
3286,1,5,Downtown,1996,1,759300.0
931,3,1,Downtown,2004,1,346800.0
4117,4,4,Downtown,2003,3,946500.0
3728,1,5,Countryside,1998,3,875300.0
3585,2,5,Metropolitan,2005,2,895100.0
1107,3,5,Downtown,1988,0,464700.0
976,4,3,Beachfront,2012,3,495200.0
3195,4,2,Countryside,2008,2,810400.0
2836,2,5,Downtown,2015,1,717600.0
592,5,4,Downtown,2019,1,450400.0
2110,1,4,Beachfront,1988,0,551200.0
996,1,3,Suburbs,1990,0,316100.0
2181,2,1,Downtown,2001,2,505000.0
1481,2,3,Countryside,1995,2,500400.0
1993,4,1,Downtown,1988,0,479200.0
2309,1,4,Urban,2001,2,639200.0
1912,1,3,Beachfront,1988,0,515800.0
4392,5,3,Downtown,1994,0,950100.0
3130,2,3,Metropolitan,1977,1,753100.0
2709,2,4,Downtown,2016,2,705400.0
1597,5,5,Urban,1976,1,601600.0
1037,2,3,Urban,2019,2,424000.0
3016,2,3,Countryside,2005,2,750100.0
3826,3,3,Beachfront,2002,1,883100.0
934,3,1,Metropolitan,1979,0,393600.0
3292,4,1,Downtown,1977,2,700100.0
1778,1,1,Beachfront,1977,2,446100.0
501,2,1,Urban,1982,2,283800.0
3867,2,2,Suburbs,1989,3,798800.0
3299,1,4,Suburbs,1996,0,711500.0
3631,3,3,Beachfront,1983,1,830300.0
3393,1,2,Countryside,1982,2,709400.0
2107,1,5,Urban,2021,3,634400.0
1960,3,4,Metropolitan,1980,3,619600.0
3354,5,4,Downtown,2011,0,850900.0
1204,1,1,Downtown,2001,0,322700.0
1356,5,1,Metropolitan,1976,1,480800.0
4317,1,1,Beachfront,1979,1,824500.0
4425,3,4,Urban,1986,1,932300.0
4370,4,1,Beachfront,1978,1,895900.0
1488,2,4,Suburbs,2001,1,497900.0
3491,3,1,Countryside,1975,3,755900.0
2887,3,4,Countryside,2016,2,796600.0
2629,3,3,Countryside,2015,2,739500.0
727,5,1,Metropolitan,1986,1,411700.0
1032,1,2,Urban,2017,1,372100.0
1672,1,3,Countryside,1988,2,502300.0
2901,4,4,Metropolitan,2003,0,825100.0
3201,4,4,Suburbs,1997,0,802200.0
