area_sqft,bedrooms,bathrooms,location,year_built,garage,price
1151,4,1,Suburbs,1984,3,437000.0
991,4,4,Suburbs,1996,2,452500.0
2521,4,4,Beachfront,1989,1,716800.0
3291,1,4,Metropolitan,1998,1,778200.0
3364,3,5,Urban,2018,3,874100.0
597,4,3,Urban,2022,0,428700.0
787,3,5,Suburbs,2021,1,459200.0
2670,5,4,Beachfront,1998,3,772200.0
2526,5,4,Downtown,1984,2,701000.0
2277,1,2,Suburbs,1979,2,539100.0
4014,5,3,Beachfront,2006,0,934900.0
2076,2,2,Downtown,1979,3,514700.0
4471,5,5,Countryside,2005,2,1072300.0
2136,3,3,Countryside,2011,0,594500.0
4232,3,2,Urban,2004,2,910200.0
3737,5,1,Downtown,1994,3,835300.0
2952,4,5,Downtown,1983,2,752400.0
2582,5,1,Suburbs,2005,3,669800.0
1002,2,3,Downtown,2015,1,398800.0
3209,5,4,Urban,2000,1,834200.0
2844,4,5,Metropolitan,2023,2,842000.0
1551,4,4,Metropolitan,1989,0,585700.0
1144,3,2,Suburbs,2020,3,465000.0
1583,5,2,Downtown,2001,0,507300.0
1221,1,3,Downtown,2022,2,427600.0
2521,4,3,Metropolitan,1994,1,701600.0
3127,4,2,Beachfront,1984,3,765500.0
1730,3,3,Downtown,2009,3,528400.0
2665,1,5,Downtown,2019,2,676800.0
3911,4,5,Suburbs,2007,2,947800.0
4162,3,5,Beachfront,2011,1,1004700.0
2113,3,4,Urban,2019,0,622700.0
1800,3,5,Urban,1995,1,562300.0
3817,1,5,Beachfront,2011,2,876600.0
1264,2,1,Suburbs,1996,2,394200.0
3603,3,5,Suburbs,1981,3,839300.0
2785,2,3,Urban,1990,2,658800.0
1592,1,2,Urban,1993,3,457500.0
2488,2,3,Countryside,2020,1,680100.0
1725,1,2,Countryside,1996,3,519600.0
2596,3,1,Urban,1976,1,595900.0
4360,2,1,Urban,1994,3,860300.0
2987,4,3,Metropolitan,1999,2,783200.0
3538,2,4,Urban,1982,0,753400.0
4040,3,2,Urban,2012,0,865400.0
3393,5,3,Urban,1979,0,792100.0
2719,3,2,Beachfront,1993,0,658600.0
2569,3,3,Beachfront,2009,1,674200.0
2273,4,1,Urban,1986,0,577700.0
4385,3,1,Beachfront,1981,0,874000.0
3259,1,5,Downtown,2007,1,763900.0
3130,4,2,Countryside,2018,0,800300.0
2347,5,3,Suburbs,1988,0,634400.0
3076,1,2,Countryside,2006,0,673500.0
595,3,4,Downtown,1989,0,350600.0
2151,4,4,Metropolitan,1980,3,701200.0
2723,5,3,Downtown,1980,1,685100.0
1710,4,1,Urban,2016,3,562000.0
3416,5,3,Suburbs,1997,1,824400.0
3843,2,3,Urban,2015,3,851400.0
2545,3,5,Suburbs,2012,0,701500.0
3733,1,3,Suburbs,2012,3,815400.0
2247,4,5,Suburbs,2000,2,695500.0
4353,5,5,Suburbs,1989,3,1012900.0
1359,2,5,Suburbs,2013,1,518500.0
4443,1,1,Beachfront,2001,1,847900.0
940,4,3,Beachfront,2002,3,457200.0
784,5,4,Suburbs,2007,1,456500.0
1820,3,5,Downtown,1985,0,535100.0
1388,4,4,Countryside,2014,0,559500.0
796,5,1,Suburbs,1989,0,325300.0
2943,5,2,Countryside,2007,0,762800.0
3553,5,2,Metropolitan,2021,1,909500.0
887,5,5,Countryside,2019,3,578800.0
2572,3,1,Countryside,2011,3,676200.0
3367,2,4,Metropolitan,1999,1,858700.0
2010,3,2,Downtown,2016,0,521300.0
616,3,5,Suburbs,1975,0,356000.0
3696,3,1,Beachfront,2016,1,839100.0
4007,4,4,Countryside,1997,3,991300.0
1789,3,5,Downtown,2012,3,618600.0
3468,3,5,Countryside,2010,1,896000.0
1716,5,1,Countryside,2006,0,559100.0
2233,1,1,Downtown,2012,3,513500.0
2154,3,2,Metropolitan,2010,1,603900.0
4142,2,4,Countryside,2012,2,964000.0
1006,3,2,Metropolitan,1989,2,442300.0
2602,4,4,Countryside,2003,1,730600.0
706,2,3,Suburbs,1990,1,313700.0
1196,1,2,Countryside,2013,2,427400.0
798,4,3,Beachfront,1994,0,435000.0
584,5,4,Beachfront,1996,0,470600.0
4285,5,4,Beachfront,1997,2,1002200.0
4403,1,4,Downtown,2014,2,919900.0
1787,2,4,Urban,2001,3,605900.0
679,5,2,Metropolitan,1999,2,461100.0
1789,2,5,Urban,1991,1,568500.0
2091,1,1,Suburbs,1975,1,463800.0
1989,1,2,Urban,1978,2,508200.0
4270,3,5,Downtown,1978,2,901800.0
