area_sqft,bedrooms,bathrooms,location,year_built,garage,price
989,2,1,Metropolitan,1990,3,422700.0
967,1,4,Metropolitan,2010,1,447000.0
1984,4,3,Downtown,1982,1,538900.0
715,3,3,Downtown,2007,3,363900.0
4204,1,5,Urban,1981,2,929200.0
3339,1,4,Beachfront,1990,2,755000.0
3962,4,1,Downtown,1998,0,814500.0
2433,5,2,Suburbs,2003,0,645000.0
2620,4,5,Downtown,2000,3,713700.0
907,3,5,Metropolitan,2007,0,487800.0
3144,4,5,Downtown,1999,2,821400.0
2754,1,5,Countryside,1980,3,719600.0
1680,2,2,Beachfront,1975,0,483200.0
2473,4,3,Countryside,1977,2,684800.0
1363,2,3,Beachfront,2004,1,452900.0
1691,1,2,Downtown,2021,3,477000.0
2631,4,3,Countryside,1977,2,727500.0
610,1,4,Beachfront,1993,1,313800.0
609,5,1,Downtown,1998,1,333200.0
2205,4,3,Downtown,2006,3,644200.0
2345,4,1,Beachfront,1993,0,592500.0
2383,5,5,Countryside,1996,0,741400.0
3884,3,2,Countryside,1984,2,863600.0
1355,4,5,Metropolitan,2014,0,614400.0
2449,2,5,Metropolitan,1979,0,666300.0
1753,4,3,Beachfront,1976,0,542200.0
724,4,5,Suburbs,2012,2,453100.0
668,1,2,Countryside,2020,1,345000.0
3597,5,5,Countryside,2017,2,987100.0
2748,2,3,Downtown,1978,2,602500.0
3179,2,1,Suburbs,2016,1,715200.0
3147,1,1,Suburbs,1991,2,632400.0
3621,4,2,Downtown,1986,2,776300.0
2227,2,4,Urban,1999,2,603500.0
2434,3,5,Metropolitan,2005,0,720700.0
3556,4,1,Metropolitan,1983,0,809700.0
1413,1,1,Urban,2001,2,409500.0
3276,2,2,Urban,2015,0,707600.0
1385,3,3,Downtown,1999,0,451400.0
3074,4,1,Metropolitan,2007,3,788900.0
2549,2,4,Beachfront,1997,0,660300.0
592,2,1,Urban,1999,3,342300.0
666,3,2,Suburbs,2021,0,356400.0
2128,4,5,Metropolitan,2021,3,760300.0
3802,5,3,Downtown,2000,2,897800.0
805,2,3,Metropolitan,2001,2,433400.0
799,4,5,Suburbs,2000,3,502700.0
2267,4,3,Urban,2019,1,668500.0
3670,3,4,Urban,2008,2,860700.0
4486,4,2,Suburbs,1991,1,937300.0
2590,3,3,Downtown,1976,1,609200.0
673,4,3,Countryside,1981,0,405800.0
4184,2,1,Beachfront,2023,2,856200.0
3346,3,5,Beachfront,1975,1,838200.0
4168,4,4,Urban,2004,0,948500.0
3088,3,5,Countryside,1980,0,784500.0
3085,1,2,Beachfront,1989,0,649100.0
1435,5,1,Metropolitan,1977,1,522600.0
2263,4,5,Beachfront,2008,2,727000.0
3001,3,2,Downtown,2013,3,713300.0
2619,5,4,Countryside,1984,0,755300.0
3979,5,3,Beachfront,2016,2,977200.0
913,4,1,Suburbs,1998,2,381000.0
2099,4,5,Suburbs,2021,2,684400.0
3558,4,3,Metropolitan,2003,0,862200.0
1498,2,5,Urban,1990,3,529700.0
4100,3,1,Metropolitan,2012,3,905200.0
4073,2,2,Downtown,2008,0,833400.0
2017,4,1,Beachfront,2021,0,594800.0
3840,1,5,Beachfront,2012,1,905800.0
1901,1,1,Metropolitan,1985,2,491500.0
1558,4,4,Suburbs,2007,0,545400.0
2028,3,1,Beachfront,1989,1,543900.0
3249,5,2,Suburbs,1992,2,778200.0
4352,2,2,Beachfront,1975,2,878200.0
1397,3,1,Metropolitan,1978,0,430400.0
2064,3,1,Downtown,1975,3,510700.0
4130,1,4,Beachfront,2021,0,904500.0
2599,3,1,Suburbs,1975,2,595100.0
3318,2,4,Metropolitan,1994,1,822600.0
578,1,5,Metropolitan,2014,1,431500.0
3060,4,2,Countryside,2013,1,768700.0
1355,3,4,Countryside,2000,1,542200.0
799,1,5,Downtown,2022,2,416700.0
1378,1,4,Suburbs,2007,0,452800.0
3566,5,2,Urban,2016,2,857000.0
3891,3,2,Suburbs,1984,0,791300.0
4005,1,2,Countryside,2008,3,910400.0
1497,1,5,Countryside,1994,3,565600.0
3131,3,1,Beachfront,1980,1,678600.0
1310,5,3,Countryside,2006,2,575600.0
4274,5,1,Beachfront,2004,3,968500.0
2023,4,2,Urban,2022,0,599900.0
1959,2,4,Beachfront,2012,3,627700.0
4096,5,3,Downtown,2002,3,940400.0
4126,5,2,Countryside,2005,1,936700.0
2189,5,1,Beachfront,1989,2,592500.0
4143,3,2,Suburbs,2016,2,878400.0
3787,2,4,Urban,1987,1,811200.0
2010,5,3,Urban,1985,0,618000.0
