area_sqft,bedrooms,bathrooms,location,year_built,garage,price
819,5,1,Downtown,1978,0,344600.0
1016,4,1,Beachfront,1978,3,427400.0
1937,1,2,Countryside,1980,2,523300.0
1277,3,4,Suburbs,1975,1,470200.0
3730,5,1,Urban,1978,1,804100.0
907,1,4,Urban,1989,0,375500.0
2416,5,5,Suburbs,2015,1,738400.0
2467,1,3,Metropolitan,1981,1,604200.0
2758,4,1,Urban,1989,3,676900.0
2569,5,3,Urban,2023,0,718600.0
3016,2,3,Urban,2002,0,698700.0
2158,5,4,Suburbs,2015,2,696600.0
3666,4,4,Beachfront,2022,2,947800.0
1106,3,2,Downtown,1990,0,358200.0
1134,4,1,Countryside,1975,1,416400.0
3144,4,3,Beachfront,1995,1,773100.0
3573,2,5,Countryside,2001,3,895400.0
4427,2,1,Downtown,2021,0,850000.0
750,3,3,Metropolitan,2020,2,434200.0
3279,5,4,Downtown,2012,3,854900.0
2466,5,2,Suburbs,1994,2,660100.0
728,4,3,Metropolitan,2015,3,498000.0
1550,4,1,Metropolitan,1988,2,549500.0
3168,2,2,Countryside,2003,2,745900.0
2140,3,2,Downtown,2003,2,551000.0
3461,1,5,Urban,2009,0,804900.0
729,4,1,Urban,2002,3,390800.0
2584,3,4,Downtown,1979,3,656900.0
4423,4,3,Downtown,1979,2,919900.0
1758,3,2,Countryside,1987,2,540100.0
830,2,5,Urban,2017,3,472000.0
4415,1,5,Suburbs,1978,3,913000.0
1255,4,3,Urban,1985,3,487600.0
3117,3,5,Suburbs,1976,1,748200.0
4193,3,3,Urban,2017,3,965300.0
4446,3,2,Beachfront,2002,2,941000.0
3288,2,4,Countryside,1977,3,789500.0
3152,3,3,Beachfront,1984,0,740300.0
3569,2,2,Urban,2018,3,815000.0
2932,1,4,Beachfront,2017,1,734500.0
1076,2,4,Metropolitan,1980,2,469100.0
3869,5,2,Urban,2013,3,911500.0
831,2,4,Urban,1982,2,397200.0
2040,5,3,Downtown,1990,1,559700.0
4370,1,1,Downtown,1980,3,802800.0
3963,3,4,Suburbs,2021,3,921300.0
3189,2,5,Suburbs,2011,1,754800.0
4374,5,1,Countryside,2008,3,987300.0
1462,2,2,Metropolitan,1977,0,462100.0
2547,1,5,Metropolitan,2022,0,721400.0
972,3,4,Countryside,1976,1,436000.0
2105,4,1,Suburbs,2013,3,600700.0
1245,4,5,Downtown,2022,0,530100.0
2206,4,3,Beachfront,2002,0,634700.0
3876,5,5,Downtown,2007,1,937600.0
866,4,3,Countryside,1982,2,426600.0
1542,3,4,Urban,2012,0,526700.0
723,2,5,Urban,1994,3,435500.0
4255,5,5,Downtown,1986,3,992200.0
2081,3,5,Suburbs,2018,1,628900.0
3923,4,3,Urban,2014,2,879500.0
2933,5,1,Metropolitan,1987,1,759500.0
3826,3,1,Beachfront,1987,1,778400.0
3068,1,2,Downtown,1986,2,614100.0
2494,4,5,Suburbs,2011,3,742900.0
795,5,3,Countryside,1982,0,436100.0
3629,2,5,Suburbs,2003,3,851500.0
3492,1,2,Metropolitan,2006,0,783200.0
3365,3,3,Downtown,1990,3,776800.0
649,5,5,Suburbs,1982,0,414200.0
4445,2,2,Metropolitan,1987,1,924400.0
3727,5,3,Urban,1997,0,854400.0
2917,3,2,Countryside,1993,0,705000.0
3941,5,2,Countryside,1990,0,875500.0
4132,2,1,Metropolitan,2013,3,910000.0
2145,5,4,Downtown,1982,3,637500.0
3145,2,3,Metropolitan,1978,1,727600.0
1530,3,1,Metropolitan,2011,0,490700.0
4123,1,5,Suburbs,1985,3,876400.0
770,4,1,Suburbs,2007,3,370400.0
738,1,2,Suburbs,1992,1,287200.0
3691,3,4,Countryside,1976,3,907300.0
955,2,5,Urban,1982,3,427000.0
1929,1,4,Metropolitan,1994,2,594900.0
3963,2,3,Downtown,2009,3,844400.0
1692,4,4,Urban,2013,2,615800.0
955,5,2,Beachfront,1990,1,454700.0
739,2,2,Beachfront,2000,0,351300.0
2655,2,1,Downtown,2007,3,603300.0
1974,1,2,Urban,1977,1,470100.0
1004,2,5,Downtown,1976,3,406400.0
863,2,4,Urban,1991,3,381800.0
853,3,1,Metropolitan,2010,1,429500.0
2048,5,2,Metropolitan,2020,2,710500.0
2361,2,2,Beachfront,1982,0,522800.0
605,3,5,Suburbs,2011,3,428000.0
3196,2,2,Countryside,2001,2,739400.0
3678,2,3,Metropolitan,1999,3,861400.0
2779,5,2,Downtown,1986,0,651000.0
1107,5,3,Metropolitan,1976,2,546600.0
