area_sqft,bedrooms,bathrooms,location,year_built,garage,price
3787,3,3,Downtown,2002,3,840700.0
3680,5,1,Downtown,1993,3,803600.0
3577,4,3,Beachfront,2008,1,853200.0
2117,5,2,Downtown,1981,3,577500.0
4014,4,4,Suburbs,1989,0,917700.0
2723,5,1,Countryside,1989,3,736500.0
1448,2,1,Beachfront,2021,2,489000.0
1172,5,5,Metropolitan,2007,1,610700.0
2709,4,3,Urban,1991,0,683400.0
3902,3,1,Downtown,2023,0,805700.0
3505,3,5,Countryside,2023,3,923000.0
2287,2,2,Beachfront,2003,1,590900.0
4143,5,5,Beachfront,2009,0,1006700.0
764,4,3,Urban,1993,3,445200.0
1592,5,5,Countryside,2005,3,708200.0
4302,5,5,Beachfront,1996,3,1085000.0
2774,2,1,Downtown,1980,0,587200.0
1272,4,5,Downtown,2003,1,508800.0
2677,1,4,Downtown,1996,1,633600.0
3046,5,1,Urban,1975,0,681200.0
4445,1,1,Urban,1977,3,835000.0
3259,5,2,Beachfront,1990,2,812400.0
3970,4,5,Suburbs,1997,1,940600.0
2588,1,2,Urban,2022,3,658400.0
2005,5,3,Suburbs,2019,0,580500.0
3632,1,4,Metropolitan,2002,2,846800.0
2008,2,5,Beachfront,1991,2,611800.0
3445,3,5,Urban,2021,1,885200.0
3897,4,3,Suburbs,2022,3,900300.0
3639,3,1,Suburbs,2009,0,760000.0
2460,2,2,Metropolitan,1985,2,622000.0
2608,5,1,Countryside,2013,2,710400.0
2240,2,2,Urban,1992,1,550700.0
1841,5,3,Suburbs,1977,2,571900.0
1281,4,3,Beachfront,2000,3,516200.0
965,5,5,Downtown,1982,0,462800.0
2074,4,4,Urban,2020,0,673000.0
3734,5,1,Urban,2017,0,856900.0
2219,2,4,Urban,2001,0,589700.0
1770,5,3,Countryside,2013,2,668600.0
1253,4,5,Downtown,2012,0,501400.0
1298,5,4,Countryside,1988,0,554700.0
2438,2,1,Countryside,2010,2,650800.0
4297,1,3,Urban,1986,2,859300.0
1116,2,2,Downtown,2017,0,355500.0
4129,1,5,Metropolitan,1994,3,972500.0
3450,2,4,Beachfront,1994,2,832300.0
1457,2,4,Beachfront,1986,2,512400.0
3606,5,1,Urban,1999,2,839000.0
624,5,4,Countryside,2013,1,479400.0
3740,5,3,Beachfront,1989,1,887700.0
2900,2,5,Downtown,2002,0,700400.0
1851,4,4,Suburbs,1997,3,601300.0
1250,2,4,Suburbs,1976,3,418700.0
593,2,3,Suburbs,1990,2,316800.0
4346,3,2,Countryside,1977,3,949000.0
2379,3,5,Suburbs,1983,3,697200.0
3532,1,1,Urban,2003,1,715900.0
3575,3,3,Countryside,2002,1,861000.0
1421,2,1,Downtown,2013,3,433000.0
2206,4,1,Beachfront,2011,0,592900.0
618,3,2,Urban,1989,2,346000.0
3601,1,3,Urban,1979,0,731600.0
1964,4,1,Urban,2011,0,545000.0
4263,1,5,Metropolitan,2022,0,987200.0
2437,5,4,Beachfront,1980,3,710300.0
1009,5,5,Suburbs,2013,1,546700.0
3776,5,2,Suburbs,1996,2,835200.0
1035,1,1,Beachfront,2002,1,366700.0
2263,4,1,Beachfront,2006,3,654400.0
1414,2,3,Urban,1981,0,417700.0
1203,5,3,Metropolitan,1997,1,547800.0
3668,5,2,Beachfront,2003,2,913500.0
2458,4,4,Beachfront,1992,3,728600.0
888,5,5,Urban,2020,1,526600.0
3225,5,4,Urban,2005,2,837000.0
908,2,2,Urban,1981,1,332200.0
632,2,4,Urban,1996,0,345400.0
2908,1,5,Downtown,1989,2,668100.0
1264,1,3,Metropolitan,2000,3,476000.0
955,5,5,Downtown,2007,1,521500.0
2902,5,5,Suburbs,2015,0,789600.0
1379,2,5,Urban,1979,3,500600.0
3694,3,4,Beachfront,2020,3,906300.0
3265,3,4,Urban,1986,2,798300.0
1182,1,5,Suburbs,1984,0,417500.0
3929,3,5,Urban,2004,1,916800.0
3980,5,3,Countryside,2022,3,1017100.0
3411,2,3,Urban,2022,1,766900.0
4280,4,1,Urban,1979,1,842700.0
4163,5,5,Downtown,1987,2,954200.0
1456,5,1,Countryside,1990,2,544400.0
3542,5,5,Metropolitan,1984,3,975100.0
3234,5,3,Countryside,1990,1,822200.0
552,1,4,Suburbs,1988,3,342500.0
3650,1,5,Urban,2004,0,826400.0
3778,4,4,Beachfront,1975,0,868400.0
1761,4,5,Metropolitan,2003,0,662400.0
3469,5,1,Metropolitan,2016,0,860500.0
710,5,5,Urban,2012,3,524700.0
