area_sqft,bedrooms,bathrooms,location,year_built,garage,price
817,3,1,Countryside,1992,2,370500.0
2252,4,1,Suburbs,2002,2,581200.0
2545,3,3,Downtown,2018,1,659800.0
595,5,4,Urban,1983,1,432700.0
4447,3,4,Urban,2013,2,1011100.0
1278,2,3,Urban,2008,3,474100.0
1030,1,1,Metropolitan,1983,3,357100.0
3025,3,3,Downtown,2007,0,696700.0
1568,1,5,Beachfront,2002,1,520000.0
3979,5,3,Urban,1976,3,923700.0
867,4,1,Suburbs,2017,1,390400.0
3730,4,3,Countryside,2022,1,915600.0
4355,4,3,Countryside,1993,1,957000.0
2708,4,1,Metropolitan,2020,2,740500.0
788,1,1,Suburbs,1987,3,267600.0
2146,4,2,Suburbs,2014,2,625100.0
1318,3,2,Suburbs,2013,2,445200.0
3664,1,3,Beachfront,2010,0,804000.0
2032,1,4,Countryside,1993,3,638800.0
3756,4,5,Countryside,1989,3,956800.0
3022,1,1,Downtown,1996,2,622200.0
2056,4,2,Countryside,2004,2,642100.0
2008,1,1,Metropolitan,1989,3,560500.0
3842,1,3,Suburbs,1996,1,789300.0
4429,3,2,Beachfront,1976,1,896800.0
877,1,5,Countryside,1982,1,407700.0
820,3,3,Countryside,2003,3,440200.0
1315,2,2,Downtown,2019,1,401800.0
2324,1,1,Downtown,1985,3,497100.0
2240,5,1,Suburbs,2013,3,651400.0
3603,5,3,Beachfront,1981,1,856200.0
3294,1,2,Suburbs,1996,2,691700.0
2038,4,5,Metropolitan,1993,0,688500.0
2990,1,4,Suburbs,2013,2,711400.0
2127,3,1,Beachfront,1978,0,525000.0
1155,3,4,Beachfront,2012,1,521300.0
2421,4,3,Suburbs,2018,2,670300.0
4368,2,5,Countryside,1975,0,970000.0
3590,1,3,Suburbs,2000,3,803900.0
4037,2,2,Urban,2013,1,849500.0
2097,3,4,Suburbs,1978,0,540300.0
2090,2,4,Suburbs,2001,0,558100.0
3117,2,1,Countryside,1977,2,681500.0
2803,5,2,Urban,1989,3,731500.0
553,3,4,Urban,1995,0,366500.0
4115,3,4,Downtown,2004,2,908800.0
3354,1,4,Downtown,1979,2,702000.0
2739,2,2,Beachfront,1978,1,627400.0
3710,3,3,Countryside,1979,1,846900.0
2428,3,1,Suburbs,2018,1,620400.0
1118,4,4,Downtown,1977,0,439600.0
1194,3,3,Countryside,1979,1,475500.0
561,2,4,Beachfront,2001,1,324200.0
1756,3,4,Downtown,2023,1,558800.0
1396,5,5,Urban,1988,3,598000.0
876,5,3,Metropolitan,2000,0,498400.0
1570,4,3,Suburbs,2003,1,512800.0
1195,2,3,Beachfront,1983,0,420800.0
1666,1,3,Beachfront,2022,2,523600.0
1424,1,3,Beachfront,1978,3,457900.0
3054,3,1,Countryside,1975,0,641400.0
3981,4,4,Metropolitan,1979,0,899900.0
1544,4,2,Metropolitan,2021,1,579300.0
3426,5,2,Suburbs,2009,0,784100.0
2047,1,2,Countryside,2015,1,539200.0
2889,2,2,Urban,1976,3,650400.0
1716,1,5,Metropolitan,2004,0,557600.0
3678,3,1,Metropolitan,1999,0,800400.0
3451,2,5,Countryside,2022,3,892500.0
3704,5,1,Metropolitan,1987,1,865400.0
1201,2,2,Countryside,1995,2,444800.0
4216,5,4,Metropolitan,1988,0,989900.0
1296,2,1,Countryside,1986,3,438200.0
2003,5,5,Beachfront,1992,0,669800.0
3461,1,4,Downtown,2002,0,747600.0
3160,5,5,Beachfront,1985,3,881800.0
3457,1,3,Downtown,1988,2,720800.0
3145,2,2,Beachfront,2001,1,706900.0
3387,2,2,Countryside,1978,1,734600.0
3215,5,4,Urban,1975,2,838700.0
707,4,4,Suburbs,1975,0,371600.0
4420,5,3,Downtown,2019,1,974700.0
3153,2,2,Metropolitan,2010,0,776100.0
920,3,2,Urban,2016,3,446200.0
2135,3,4,Metropolitan,1985,3,664200.0
3580,3,5,Beachfront,1987,1,875500.0
2923,1,5,Downtown,2000,0,663200.0
4304,2,1,Countryside,2023,0,893700.0
4319,4,2,Metropolitan,2020,1,1005400.0
691,5,4,Countryside,2015,0,478600.0
2735,5,4,Beachfront,1979,0,748800.0
3627,1,4,Suburbs,2012,3,822100.0
4486,3,2,Downtown,1977,0,859000.0
2614,5,1,Metropolitan,2013,2,724900.0
1101,5,2,Countryside,2016,3,532500.0
3750,2,2,Beachfront,2020,1,845700.0
2998,1,3,Urban,1980,3,683500.0
2941,4,2,Countryside,2022,2,796700.0
1849,2,2,Downtown,1997,0,469100.0
2175,3,4,Suburbs,1983,1,609600.0
2680,1,4,Metropolitan,2003,1,701100.0
3734,4,1,Urban,2008,3,862700.0
2379,5,1,Downtown,1987,1,603100.0
1993,2,2,Beachfront,2002,0,543100.0
2157,4,4,Metropolitan,1980,3,689600.0
3014,1,1,Metropolitan,2017,0,680800.0
2163,2,5,Urban,1977,1,618000.0
891,5,4,Beachfront,2010,0,507300.0
4433,4,2,Suburbs,1991,1,920300.0
2964,5,5,Downtown,2007,2,820700.0
3446,4,5,Beachfront,2018,1,903000.0
4263,2,5,Countryside,2015,2,993900.0
1983,5,5,Suburbs,2015,0,666700.0
3986,1,2,Beachfront,1994,3,837700.0
566,4,5,Downtown,1982,1,386400.0
4225,5,2,Suburbs,1997,1,922600.0
4091,5,3,Countryside,1983,2,976300.0
667,3,4,Countryside,2006,1,430700.0
3007,5,1,Suburbs,1982,0,669000.0
2296,2,1,Beachfront,1987,2,534200.0
3229,1,4,Downtown,1986,0,692900.0
712,4,3,Urban,2012,1,404200.0
3476,2,3,Suburbs,1997,3,794200.0
3485,4,4,Downtown,2007,3,844400.0
4183,4,1,Beachfront,2018,0,905900.0
1147,1,2,Metropolitan,2013,3,433300.0
742,2,1,Metropolitan,1975,1,340400.0
972,5,1,Urban,1983,3,421100.0
3472,5,1,Suburbs,2012,2,792500.0
2517,4,5,Metropolitan,1975,0,721400.0
3752,3,5,Suburbs,2001,2,906700.0
2353,5,4,Countryside,2008,0,740600.0
2287,4,3,Suburbs,2014,2,652000.0
1033,2,4,Downtown,1994,2,410100.0
944,5,2,Countryside,2019,0,501200.0
2999,4,3,Beachfront,1977,1,719900.0
2975,3,4,Countryside,1988,3,800500.0
2312,4,5,Urban,2004,2,719100.0
3773,4,5,Suburbs,2008,0,878700.0
942,5,2,Suburbs,1996,1,427100.0
3064,5,4,Metropolitan,2017,3,904300.0
1319,5,4,Countryside,2008,2,606000.0
2223,3,2,Beachfront,1977,3,573200.0
927,1,4,Urban,2022,3,430500.0
4327,4,5,Countryside,2021,0,1055000.0
2313,2,5,Countryside,1995,2,696200.0
2840,2,4,Countryside,1976,2,702400.0
2729,3,5,Downtown,1981,1,700900.0
587,5,1,Downtown,1976,2,326700.0
2443,4,4,Beachfront,2001,0,704500.0
