area_sqft,bedrooms,bathrooms,location,year_built,garage,price
3602,3,4,Metropolitan,2010,3,928400.0
2911,4,5,Downtown,2015,0,734400.0
2998,4,2,Beachfront,1988,2,730400.0
1257,1,3,Countryside,2021,1,484700.0
1120,5,5,Suburbs,1982,3,545600.0
2289,1,4,Urban,1994,2,639000.0
1703,2,3,Urban,2014,3,543500.0
2724,5,1,Beachfront,1982,3,716700.0
2148,4,5,Beachfront,1975,1,654900.0
3521,5,4,Suburbs,1993,2,880700.0
3010,1,1,Downtown,1997,2,628700.0
4298,3,4,Downtown,1988,1,903000.0
4208,1,2,Suburbs,2022,1,872800.0
2909,2,5,Metropolitan,2008,3,826600.0
3716,3,5,Suburbs,1982,2,857200.0
2863,5,4,Beachfront,1987,1,816800.0
4133,4,1,Countryside,1982,1,878100.0
3716,1,1,Downtown,2000,1,683500.0
1404,4,2,Urban,2006,2,505500.0
2072,5,5,Downtown,2003,0,638200.0
2569,4,4,Beachfront,1975,0,679400.0
3290,3,5,Metropolitan,1978,3,868800.0
2306,5,1,Beachfront,2018,0,651700.0
1927,3,2,Metropolitan,2017,2,624800.0
2017,3,2,Suburbs,1989,1,513900.0
2603,2,2,Downtown,1995,3,595900.0
2898,5,4,Beachfront,2008,2,819700.0
3861,5,4,Downtown,1981,0,855700.0
1232,1,4,Downtown,2014,2,421800.0
2068,5,4,Beachfront,1975,0,658900.0
3008,1,1,Beachfront,1975,2,618700.0
1385,1,2,Urban,2016,1,427800.0
2407,4,4,Countryside,2019,3,774100.0
3441,1,3,Countryside,1977,0,728600.0
2430,5,1,Metropolitan,2008,3,739400.0
2125,2,2,Suburbs,1987,0,517000.0
912,2,2,Countryside,2013,1,417400.0
1783,2,5,Suburbs,1995,0,526400.0
1829,3,1,Suburbs,2018,0,499700.0
1611,5,1,Suburbs,2021,3,577800.0
2131,1,4,Metropolitan,1985,1,597500.0
4469,4,3,Countryside,2012,1,1008000.0
3988,4,3,Downtown,1981,1,845800.0
1805,4,3,Urban,2002,1,580500.0
1109,4,3,Urban,2005,1,484200.0
949,5,5,Downtown,2007,0,452900.0
4107,2,1,Beachfront,2015,0,813500.0
2678,4,1,Urban,1986,3,667600.0
3000,5,2,Metropolitan,2022,1,806900.0
3854,4,5,Metropolitan,1987,0,967300.0
1512,1,1,Urban,1976,3,398600.0
2250,1,5,Countryside,2002,1,660500.0
2469,1,3,Downtown,2019,0,569300.0
3561,5,4,Urban,1988,2,870500.0
3229,3,2,Beachfront,1978,0,696300.0
2147,3,3,Beachfront,2022,2,652500.0
4388,3,4,Countryside,2015,0,1021900.0
1743,1,5,Downtown,2009,3,532700.0
2938,4,4,Countryside,1991,3,800100.0
2859,3,2,Beachfront,2013,2,739600.0
3172,5,1,Beachfront,1989,3,792900.0
847,1,1,Metropolitan,2007,1,367900.0
774,4,3,Urban,1999,3,429800.0
2415,4,1,Downtown,1989,0,554100.0
3145,1,2,Urban,2009,3,717400.0
4087,3,4,Countryside,2006,1,934500.0
1828,4,2,Countryside,1983,3,601300.0
785,3,5,Beachfront,2007,0,445900.0
3001,4,5,Metropolitan,2022,1,879300.0
2022,1,3,Countryside,1988,1,542400.0
529,5,3,Urban,1989,3,397200.0
4086,3,2,Urban,2014,0,845700.0
1425,3,1,Metropolitan,2017,3,545500.0
1183,4,4,Downtown,2016,0,484700.0
658,2,2,Beachfront,1979,2,328200.0
4075,1,1,Beachfront,1987,0,764100.0
4375,4,2,Beachfront,1992,2,977300.0
3823,1,4,Downtown,2009,3,843500.0
1445,3,5,Beachfront,2002,0,561500.0
2567,3,3,Suburbs,2014,2,668100.0
1584,4,1,Beachfront,1984,1,485400.0
3641,4,2,Suburbs,1983,3,799600.0
2903,1,4,Downtown,2023,1,682600.0
2363,3,1,Countryside,2005,1,627100.0
3619,1,5,Downtown,1979,3,775000.0
979,2,1,Countryside,2020,3,404700.0
3648,4,2,Suburbs,2007,2,839200.0
515,3,1,Urban,2005,3,349800.0
509,4,5,Suburbs,1981,0,391700.0
1180,4,1,Metropolitan,2001,1,487000.0
1672,5,4,Beachfront,1982,3,613500.0
4095,2,2,Countryside,1988,0,843000.0
3373,2,2,Urban,1997,0,704000.0
576,1,1,Countryside,2015,1,274600.0
2281,1,5,Suburbs,2011,2,625400.0
2300,4,5,Countryside,1987,2,723000.0
2305,4,1,Urban,1992,3,599300.0
1060,5,1,Downtown,1980,3,416300.0
2861,2,4,Downtown,2012,3,732000.0
913,1,3,Urban,2016,0,368400.0
3474,5,4,Countryside,1979,2,909400.0
1577,2,4,Suburbs,1983,0,436600.0
1058,4,5,Countryside,2013,0,543600.0
1420,5,3,Metropolitan,2007,0,583800.0
3175,1,4,Suburbs,1985,0,691700.0
1287,5,5,Downtown,1984,1,524200.0
2065,2,3,Urban,1987,3,568000.0
3093,2,2,Countryside,2017,1,748500.0
1948,2,4,Beachfront,1982,1,554900.0
2722,2,5,Metropolitan,2018,0,767900.0
3136,4,2,Urban,1984,0,711900.0
4035,2,4,Urban,2011,3,921600.0
4261,3,5,Urban,1981,3,962800.0
1555,5,3,Metropolitan,2021,1,618900.0
3732,2,2,Beachfront,1984,0,760000.0
1787,4,4,Downtown,2015,0,574800.0
3277,1,4,Metropolitan,2005,3,836500.0
3740,4,5,Suburbs,1994,1,895400.0
3379,4,2,Metropolitan,2023,1,846700.0
3107,1,1,Urban,2014,0,633000.0
1056,3,4,Metropolitan,2006,2,535300.0
2645,2,1,Suburbs,1999,0,559200.0
2978,3,1,Metropolitan,2002,2,732000.0
4037,2,5,Suburbs,1978,3,901500.0
3518,3,3,Urban,2022,1,832600.0
2646,5,4,Beachfront,1995,3,788500.0
3955,1,3,Downtown,1984,3,785100.0
2110,2,5,Metropolitan,2008,3,696000.0
883,3,1,Metropolitan,1985,2,385800.0
3251,2,4,Urban,2014,0,781200.0
2478,4,2,Countryside,2009,0,669000.0
2925,1,1,Beachfront,1988,1,636600.0
3461,3,1,Metropolitan,2021,2,835600.0
1692,3,1,Urban,2012,0,488800.0
4179,2,5,Urban,1992,2,924200.0
2801,1,3,Countryside,2002,0,643800.0
2378,1,3,Downtown,2009,0,552300.0
858,4,1,Countryside,2014,2,463300.0
1184,4,1,Beachfront,1998,1,408600.0
3330,5,3,Beachfront,1982,1,825800.0
2195,4,2,Urban,2010,3,652800.0
2268,1,1,Countryside,1993,1,559600.0
3389,4,1,Countryside,1985,3,806800.0
1032,1,3,Metropolitan,2020,3,467200.0
2217,1,5,Urban,1998,3,645200.0
2472,3,5,Suburbs,1977,3,693400.0
3894,2,3,Urban,1994,0,844200.0
2479,5,3,Countryside,2022,3,776700.0
1496,4,2,Metropolitan,1990,0,532400.0
792,3,5,Downtown,1985,3,423500.0
